ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2017-01-11,3C,-6C,晴~多云,东北风,1-2级,59,良,2
2017-01-12,2C,-5C,阴~多云,东北风,1-2级,49,优,1
2017-01-13,2C,-5C,多云,北风,1-2级,28,优,1
2017-01-14,0C,-8C,阴,东北风,1-2级,28,优,1
2017-01-15,3C,-6C,多云~晴,西北风,1-2级,50,优,1
2017-01-16,2C,-5C,多云~阴,西南风,1-2级,32,优,1
2017-01-17,2C,-4C,阴~多云,西南风,1-2级,59,良,2
2017-01-18,2C,-6C,晴,西北风,4-5级,50,优,1
2017-01-19,1C,-8C,晴,西北风,3-4级,34,优,1
2017-01-01,-1C,-10C,晴,北风,1-2级,24,优,7
2017-01-02,2C,-8C,晴,西南风,1-2级,75,良,2
2017-01-03,3C,-7C,多云,南风,1-2级,126,轻度污染,3
2017-01-04,6C,-5C,晴~多云,西北风,1-2级,187,中度污染,4
2017-01-05,2C,-5C,阴,东南风,1-2级,47,优,1
2017-01-06,4C,-5C,多云,南风,1-2级,112,轻度污染,3
2017-01-07,6C,-7C,多云~晴,西北风,1-2级,82,良,8
2017-01-08,5C,-6C,晴,西南风,1-2级,80,良,2
2017-01-09,7C,-4C,晴,南风,1-2级,115,轻度污染,3
2017-01-20,12C,-16C,晴~多云,东风,1-2级,64,良,2
2017-01-21,10C,-25C,阴~小雪,东北风,1-2级,63,良,2
2017-02-21,17C,-15C,阴~小雪,东北风,1-2级,63,良,2
2017-03-21,29C,-25C,阴~小雪,东北风,1-2级,63,良,2
2018-01-01,3C,-6C,晴~多云,东北风,1-2级,59,良,2
2018-01-02,2C,-5C,阴~多云,东北风,1-2级,49,优,1
2018-01-03,2C,-5C,多云,北风,1-2级,28,优,1
2018-01-04,0C,-8C,阴,东北风,1-2级,28,优,1
2018-01-05,3C,-6C,多云~晴,西北风,1-2级,50,优,1
2018-01-06,2C,-5C,多云~阴,西南风,1-2级,32,优,1
2018-01-07,2C,-4C,阴~多云,西南风,1-2级,59,良,2
2018-01-08,2C,-6C,晴,西北风,4-5级,50,优,1
2018-01-09,1C,-8C,晴,西北风,3-4级,34,优,1
2018-01-10,-2C,-10C,晴,西北风,1-2级,26,优,1
2018-01-11,-1C,-10C,晴,北风,1-2级,24,优,7
2018-01-12,2C,-8C,晴,西南风,1-2级,75,良,2
2018-01-13,3C,-7C,多云,南风,1-2级,126,轻度污染,3
2018-01-14,6C,-5C,晴~多云,西北风,1-2级,187,中度污染,4
2018-01-15,2C,-5C,阴,东南风,1-2级,47,优,1
2018-01-16,4C,-5C,多云,南风,1-2级,112,轻度污染,3
2018-01-17,6C,-7C,多云~晴,西北风,1-2级,82,良,8
2018-01-18,5C,-6C,晴,西南风,1-2级,80,良,2
2018-01-19,7C,-4C,晴,南风,1-2级,115,轻度污染,3
2018-01-20,3C,-6C,晴~多云,东风,1-2级,64,良,2
2018-01-21,0C,-5C,阴~小雪,东北风,1-2级,63,良,2
2018-02-21,10C,-5C,阴~小雪,东北风,1-2级,63,良,2
2018-03-21,20C,-5C,阴~小雪,东北风,1-2级,63,良,2
2019-01-01,13C,-16C,晴~多云,东北风,1-2级,59,良,2
2019-01-02,12C,-15C,阴~多云,东北风,1-2级,49,优,1
2019-01-03,12C,-15C,多云,北风,1-2级,28,优,1
2019-01-04,10C,-18C,阴,东北风,1-2级,28,优,1
2019-01-05,13C,-16C,多云~晴,西北风,1-2级,50,优,1
2019-01-06,12C,-15C,多云~阴,西南风,1-2级,32,优,1
2019-01-07,12C,-14C,阴~多云,西南风,1-2级,59,良,2
2019-01-08,12C,-16C,晴,西北风,4-5级,50,优,1
2019-01-09,11C,-18C,晴,西北风,3-4级,34,优,1
2019-01-10,-21C,-11C,晴,西北风,1-2级,26,优,1
2019-01-11,-11C,-11C,晴,北风,1-2级,24,优,7
2019-01-12,22C,-18C,晴,西南风,1-2级,75,良,2
2019-01-13,23C,-17C,多云,南风,1-2级,126,轻度污染,3
2019-01-14,26C,-15C,晴~多云,西北风,1-2级,187,中度污染,4
2019-01-15,22C,-15C,阴,东南风,1-2级,47,优,1
2019-01-16,24C,-15C,多云,南风,1-2级,112,轻度污染,3
2019-01-17,26C,-17C,多云~晴,西北风,1-2级,82,良,8
2019-01-18,25C,-16C,晴,西南风,1-2级,80,良,2
2019-01-19,27C,-14C,晴,南风,1-2级,115,轻度污染,3
2019-01-20,23C,-16C,晴~多云,东风,1-2级,64,良,2
2019-01-21,10C,-25C,阴~小雪,东北风,1-2级,63,良,2
2019-02-21,10C,-15C,阴~小雪,东北风,1-2级,63,良,2
2019-03-21,22C,-15C,阴~小雪,东北风,1-2级,63,良,2